;Time(ms);Axle_Torque_Feedback(N.m);;Time(ms);Speed_Feedback(m/s)
1760710766;14782,76014;2;;5719,980001;0,098563343
1760710766;14814,55016;-2;;5730,049849;0,088707015
1760710766;14842,78011;0;;5740,089893;0,088707015
1760710766;14871,94014;0;;5750,119925;0,088707015
1760710766;14904,95014;0;;5760,169983;0,088707015
1760710766;14921,17;0;;5770,030022;0,088707015
1760710766;14951,3402;0;;5780,079842;0,088707015
1760710766;14973,19007;-2;;5790,089846;0,088707015
1760710766;14992,19012;0;;5800,169945;0,088707015
1760710766;15011,24001;0;;5810,590029;0,088707015
1760710766;15031,1501;0;;5819,859982;0,088707015
1760710766;15051,66006;0;;5830,359936;0,088707015
1760710766;15081,91013;0;;5840,039968;0,088707015
1760710766;15113,2102;0;;5849,849939;0,088707015
1760710766;15141,28017;0;;5859,819889;0,088707015
1760710766;15171,9501;0;;5869,84992;0,088707015
1760710766;15200,91009;0;;5879,940033;0,088707015
1760710766;15233,2902;0;;5889,950037;0,088707015
1760710766;15260,48017;0;;5899,960041;0,088707015
1760710766;15280,50017;0;;5910,019875;0,088707015
1760710766;15300,39001;0;;5920,059919;0,088707015
1760710766;15322,28017;0;;5930,199862;0,088707015
1760710766;15350,90017;0;;5940,429926;0,088707015
1760710766;15369,69018;0;;5949,769974;0,088707015
1760710766;15390,9502;0;;5959,739923;0,088707015
1760710766;15413,43021;0;;5969,689846;0,088707015
1760710766;15441,24007;0;;5979,719877;0,088707015
1760710766;15471,13013;0;;5989,789963;0,088707015
1760710767;15504,37021;0;;5999,80998;0,088707015
1760710767;15531,63004;0;;6009,96995;0,088707015
1760710767;15560,37998;0;;6020,279884;0,088707015
1760710767;15590,6601;0;;6030,469894;0,088707015
1760710767;15610,1501;0;;6040,380001;0,088707015
1760710767;15630,95999;0;;6050,189972;0,088707015
1760710767;15650,41018;0;;6060,259819;0,088707015
1760710767;15680,74012;0;;6069,679976;0,088707015
1760710767;15700,73009;2;;6079,749823;0,088707015
1760710767;15720,69001;0;;6089,829922;0,088707015
1760710767;15740,48018;0;;6099,750042;0,078850672
1760710767;15760,38003;-2;;6109,730005;0,078850672
1760710767;15780,42006;0;;6119,910002;0,078850672
1760710767;15811,19013;-2;;6130,059958;0,088707536
1760710767;15830,8301;0;;6140,139818;0,088707536
1760710767;15859,85017;0;;6150,149822;0,088707536
1760710767;15879,54998;0;;6160,049915;0,088707536
1760710767;15900,79021;0;;6170,029879;0,088707536
1760710767;15930,42016;0;;6180,089951;0,088707536
1760710767;15960,06012;0;;6190,160036;0,078851141
1760710767;15989,8901;0;;6199,579954;0,078851141
1760710767;16020,85018;0;;6209,739923;0,078851141
1760710767;16049,71004;0;;6219,929934;0,078851141
1760710767;16080,29008;0;;6230,059862;0,078851141
1760710767;16110,35013;0;;6239,919901;0,078851141
1760710767;16140,12003;0;;6249,969959;0,078851141
1760710767;16169,71016;0;;6260,030031;0,078851141
1760710767;16199,7602;-2;;6270,099878;0,078851141
1760710767;16219,34009;0;;6280,139923;0,078851141
1760710767;16239,5401;0;;6290,189981;0,078851141
1760710767;16259,99022;0;;6300,069809;0,078851141
1760710767;16278,95999;0;;6310,089827;0,078851141
1760710767;16309,10015;0;;6319,689989;0,078851141
1760710767;16338,78016;0;;6329,91004;0,078851141
1760710767;16359,1001;0;;6339,920044;0,078851141
1760710767;16379,31013;0;;6349,720001;0,078851141
1760710767;16409,70016;0;;6359,930038;0,078851141
1760710767;16439,62002;0;;6369,799852;0,078851141
1760710767;16468,6501;0;;6379,809856;0,078851141
1760710768;16498,3902;0;;6389,899969;0,078851141
1760710768;16518,97001;0;;6399,97983;0,078851141
1760710768;16548,1801;0;;6410,140038;0,078851141
1760710768;16568,08019;0;;6420,31002;0,078851141
1760710768;16588,68003;0;;6430,109978;0,088707536
1760710768;16623,1401;0;;6440,419912;0,088707536
1760710768;16648,49019;0;;6450,099945;0,088707536
1760710768;16678,45011;0;;6459,899902;0,088707536
1760710768;16709,31005;0;;6469,7299;0,088707536
1760710768;16737,99014;0;;6479,749918;0,088707536
1760710768;16767,48013;0;;6489,80999;0,088707536
1760710768;16787,78005;0;;6499,80998;0,088707536
1760710768;16807,60002;0;;6509,869814;0,088707536
1760710768;16828,1002;0;;6519,959927;0,088707536
1760710768;16858,23011;0;;6530,099869;0,088707536
1760710768;16877,82001;-2;;6540,31992;0,088707536
1760710768;16897,89009;0;;6550,149918;0,088707536
1760710768;16928,00021;0;;6560,159922;0,088707536
1760710768;16958,30011;0;;6569,509983;0,088707536
1760710768;16988,19017;0;;6579,609871;0,088707536
1760710768;17021,3902;0;;6589,669943;0,088707536
1760710768;17047,45007;0;;6599,669933;0,088707536
1760710768;17076,8702;0;;6609,759808;0,088707536
1760710768;17107,93018;0;;6619,999886;0,088707536
1760710768;17137,67004;0;;6630,019903;0,088707536
1760710768;17167,4602;0;;6640,100002;0,088707536
1760710768;17197,18003;0;;6649,950027;0,088707536
1760710768;17217,81015;0;;6660,209894;0,088707536
1760710768;17246,84;0;;6670,08996;0,088707536
1760710768;17266,18004;0;;6680,119991;0,088707536
1760710768;17287,87017;0;;6690,209866;0,088707536
1760710768;17317,31009;0;;6699,569941;0,088707536
1760710768;17347,37015;0;;6709,719896;0,088707536
1760710768;17376,72019;0;;6719,949961;0,088707536
1760710768;17406,8501;0;;6729,929924;0,088707536
1760710768;17436,68008;0;;6739,969969;0,088707536
1760710768;17466,16006;0;;6749,85981;0,088707536
1760710769;17496,26017;0;;6759,99999;0,088707536
1760710769;17515,85007;0;;6769,979954;0,088707536
1760710769;17548,58017;0;;6779,989958;0,088707536
1760710769;17566,19;0;;6790,019989;0,088707536
1760710769;17586,53998;0;;6800,060034;0,088707536
1760710769;17617,81001;0;;6810,079813;0,088707536
1760710769;17646,11006;0;;6819,53001;0,088707536
1760710769;17675,91;0;;6829,72002;0,088707536
1760710769;17706,09021;0;;6839,929819;0,088707536
1760710769;17735,6801;0;;6849,839926;0,088707536
1760710769;17754,54998;0;;6859,910011;0,088707536
1760710769;17775,76017;0;;6869,789839;0,088707536
1760710769;17796,18001;0;;6879,829884;0,088707536
1760710769;17815,17005;0;;6889,869928;0,088707536
1760710769;17837,41021;0;;6899,999857;0,088707536
1760710769;17856,04;0;;6909,97982;0,088707536
1760710769;17874,75014;0;;6920,049906;0,088707536
1760710769;17895,90001;0;;6930,150032;0,088707536
1760710769;17915,39001;0;;6940,369844;0,088707536
1760710769;17945,35017;0;;6949,689865;0,088707536
1760710769;17964,01;0;;6959,749937;0,088707536
1760710769;17985,09002;0;;6970,010042;0,088707536
1760710769;18004,94003;0;;6979,789972;0,088707536
1760710769;18035,09021;0;;6989,789963;0,088707536
1760710769;18064,52012;0;;6999,789953;0,088707536
1760710769;18095,52002;0;;7009,840012;0,088707536
1760710769;18114,45022;0;;7019,870043;0,088707536
1760710769;18136,07001;0;;7030,059814;0,088707536
1760710769;18165,11011;0;;7040,230036;0,108420312
1760710769;18195,58001;0;;7050,259829;0,108420312
